codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
01000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1968-05-01,2016-05-01,552
01200002,DGA,dga_web,Villa Industrial (Tacora),4080,-17.7719,-69.7244,12,Rio Lluta,120,Rio Lluta Alto,1975-01-01,2016-01-01,474
01200003,DGA,dga_web,Humapalca,3980,-17.835,-69.7039,12,Rio Lluta,120,Rio Lluta Alto,1971-12-01,2016-01-01,526
01201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12,Rio Lluta,120,Rio Lluta Alto,2013-06-01,2016-01-01,25
01201010,DGA,dga_web,Alcerreca,3990,-17.9931,-69.6594,12,Rio Lluta,120,Rio Lluta Alto,1971-01-01,2016-01-01,531
01201003,DGA,dga_web,Rio Lluta En Alcerreca,3550,-18.0036,-69.6331,12,Rio Lluta,120,Rio Lluta Alto,2001-12-01,2016-01-01,160
01001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1970-01-01,2016-01-01,493
01110001,DGA,dga_web,Puquios,3750,-18.1747,-69.7439,11,Quebrada De La Concordia,111,Quebrada De La Concordia,1975-05-01,1981-05-01,69
01202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12,Rio Lluta,120,Rio Lluta Alto,1978-11-01,1999-05-01,243
01020014,DGA,dga_web,Cotacotani,4550,-18.1836,-69.2328,10,Altiplanicas,102,Rio Lauca,1961-04-01,2016-01-01,625
01020013,DGA,dga_web,Isla Blanca,4540,-18.1858,-69.2142,10,Altiplanicas,102,Rio Lauca,1970-01-01,1989-06-01,231
01202012,DGA,dga_web,Putre (Dcp),3560,-18.195,-69.5589,12,Rio Lluta,120,Rio Lluta Alto,2001-12-01,2016-01-01,167
01202010,DGA,dga_web,Putre,3545,-18.1992,-69.5603,12,Rio Lluta,120,Rio Lluta Alto,1968-01-01,2009-10-01,490
01020015,DGA,dga_web,Parinacota Conaf Dga,4420,-18.2014,-69.2683,10,Altiplanicas,102,Rio Lauca,1932-12-01,1989-01-01,539
01020017,DGA,dga_web,Parinacota Ex Endesa,4420,-18.2042,-69.2683,10,Altiplanicas,102,Rio Lauca,1983-01-01,2016-01-01,374
01202011,DGA,dga_web,Las Cuevas Conaf,4060,-18.2106,-69.5103,12,Rio Lluta,120,Rio Lluta Alto,1986-01-01,1988-01-01,24
01020016,DGA,dga_web,Chucuyo Reten,4400,-18.2164,-69.2956,10,Altiplanicas,102,Rio Lauca,1960-11-01,2016-01-01,615
01020018,DGA,dga_web,Chucuyo (Ex. Endesa),4400,-18.2181,-69.3214,10,Altiplanicas,102,Rio Lauca,1984-12-01,1990-03-01,61
01010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10,Altiplanicas,101,Lago Chungara,1983-05-01,2016-05-01,379
01010009,DGA,dga_web,Chungara Guarderia,4600,-18.2669,-69.1167,10,Altiplanicas,101,Lago Chungara,1984-10-01,1987-11-01,27
01010007,DGA,dga_web,Chungara Reten,4570,-18.2808,-69.1383,10,Altiplanicas,101,Lago Chungara,1962-07-01,2016-01-01,545
01300005,DGA,dga_web,Portezuelo Chapiquia,4375,-18.3272,-69.4661,13,Rio San Jose,130,Azapa Alto,1976-04-01,1979-12-01,16
01300004,DGA,dga_web,Murmuntane,3550,-18.3519,-69.5519,13,Rio San Jose,130,Azapa Alto,1970-06-01,1987-12-01,129
01300006,DGA,dga_web,Central Chapiquia,3350,-18.3722,-69.5481,13,Rio San Jose,130,Azapa Alto,1963-01-01,2016-05-01,612
01211006,DGA,dga_web,Lluta,290,-18.4103,-70.1692,12,Rio Lluta,121,Rio Lluta Bajo,1966-09-01,1993-12-01,174
01300007,DGA,dga_web,Belen,3240,-18.4669,-69.5167,13,Rio San Jose,130,Azapa Alto,1938-01-01,2016-05-01,747
01310018,DGA,dga_web,Arica Oficina,20,-18.4775,-70.3208,13,Rio San Jose,131,Rio San Jose,1974-09-01,2016-01-01,490
01310021,DGA,dga_web,U. Del Norte,55,-18.4833,-70.2936,13,Rio San Jose,131,Rio San Jose,1980-12-01,1984-12-01,39
01021007,DGA,dga_web,Guallatire,4240,-18.4983,-69.1547,10,Altiplanicas,102,Rio Lauca,1969-01-01,2016-01-01,541
01310022,DGA,dga_web,El Buitre Aerodromo,110,-18.5119,-70.2842,13,Rio San Jose,131,Rio San Jose,1985-09-01,2012-03-01,318
01300009,DGA,dga_web,Rio Ticnamar En Angostura,3010,-18.5133,-69.5656,13,Rio San Jose,130,Azapa Alto,2006-02-01,2015-12-01,106
01310019,DGA,dga_web,Azapa,365,-18.5156,-70.1806,13,Rio San Jose,131,Rio San Jose,1966-08-01,2016-01-01,505
01300008,DGA,dga_web,Tignamar,3230,-18.5811,-69.4939,13,Rio San Jose,130,Azapa Alto,1968-01-01,2016-01-01,512
01030003,DGA,dga_web,Chilcaya,4270,-18.7939,-69.0844,10,Altiplanicas,103,Salar De Surire,1971-11-01,2016-01-01,365
01410011,DGA,dga_web,Chaca,350,-18.8169,-70.15,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1968-12-01,1983-12-01,180
01410012,DGA,dga_web,Codpa,1870,-18.8322,-69.7439,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1961-06-01,2016-01-01,635
01502007,DGA,dga_web,Esquia,2170,-18.9417,-69.5328,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1975-07-01,2015-12-01,483
01502008,DGA,dga_web,Rio Camarones En Chilpe,1565,-18.9431,-69.6197,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,2005-12-01,2016-01-01,121
01501001,DGA,dga_web,Caritaya Embalse,3600,-19.0247,-69.3361,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1932-01-01,1965-07-01,44
01610003,DGA,dga_web,Pumire,4150,-19.0953,-69.1108,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1962-01-01,1991-10-01,341
01502006,DGA,dga_web,Cuya,200,-19.1117,-70.1269,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1965-11-01,1979-04-01,148
01610004,DGA,dga_web,Q. Camia 3 Km. A. Arriba De Tarcavire,3848,-19.1181,-69.2447,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,2006-08-01,2016-05-01,110
01041004,DGA,dga_web,Enquelca (Ex Caraguano),3900,-19.2289,-68.8044,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1985-01-01,2016-01-01,319
01041003,DGA,dga_web,Colchane (T. Isluga),3700,-19.2764,-68.6378,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1975-12-01,2016-05-01,457
