codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
01201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12,Rio Lluta,120,Rio Lluta Alto,1973-08-01,2015-10-01,490
01201002,DGA,dga_web,Rio Caracarani En Alcerreca,3253,-17.9833,-69.6283,12,Rio Lluta,120,Rio Lluta Alto,1961-12-01,1997-08-01,116
01201001,DGA,dga_web,Rio Colpitas En Alcerreca,3251,-17.9919,-69.6256,12,Rio Lluta,120,Rio Lluta Alto,1961-12-01,2015-12-01,459
01001002,DGA,dga_web,Rio Caquena En Vertedero,0,-17.9942,-69.255,10,Altiplanicas,100,Eentre Limite Peru-Bolivia Y Rio Lauca,1969-12-01,2015-12-01,423
01201003,DGA,dga_web,Rio Lluta En Alcerreca,3550,-18.0036,-69.6331,12,Rio Lluta,120,Rio Lluta Alto,1961-11-01,2016-02-01,516
01001003,DGA,dga_web,Rio Colpacagua En Desembocadura,0,-18.0156,-69.2308,10,Altiplanicas,100,Eentre Limite Peru-Bolivia Y Rio Lauca,1988-06-01,2015-12-01,278
01001001,DGA,dga_web,Rio Caquena En Nacimiento,4385,-18.0769,-69.1961,10,Altiplanicas,100,Eentre Limite Peru-Bolivia Y Rio Lauca,1976-08-01,2004-05-01,240
01020002,DGA,dga_web,Rio Desaguadero Cotacotani,4500,-18.1936,-69.2458,10,Altiplanicas,102,Rio Lauca,1964-12-01,2015-12-01,508
01020004,DGA,dga_web,"Canal Lauca En Sifon N"" 1 (Km. 3.3)",4384,-18.2294,-69.3311,10,Altiplanicas,102,Rio Lauca,1984-12-01,2015-12-01,359
01020003,DGA,dga_web,Rio Lauca En Estancia El Lago,4370,-18.2325,-69.3319,10,Altiplanicas,102,Rio Lauca,1937-02-01,2015-12-01,492
01202001,DGA,dga_web,Rio Lluta En Jamiraya,0,-18.25,-69.6667,12,Rio Lluta,120,Rio Lluta Alto,1937-12-01,1944-06-01,68
